campus,category,class_modality_categories,class_participation_contrib_prcnt,classroom,course_title,credits,eligible_year,exam_contrib_prcnt,instructor,level,main_language,others_contrib_prcnt,papers_contrib_prcnt,school,term_day_period,types_of_lesson,url,year
Waseda,Humanities,[On-campus],30,3-701,Linguistics [J] 01,2,1,,"MUROI, Yoshiyuki","Beginner, initial or introductory",Japanese,,70,School of Political Science and Economics,"{'terms': [{'season': 'Fall', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'Mon', 'period': '2', 'start_time': 2, 'end_time': None, 'note': None}], 'is_intensive': False}",Lecture,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11000013L001202511000013L011&pLng=en,2025
Waseda,Social Studies,[On-campus],20,3-301,Sociolinguistics [J] 01,2,1,,"SAUZIER UCHIDA, Emi","Beginner, initial or introductory",Japanese,,80,School of Political Science and Economics,"{'terms': [{'season': 'Fall', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'Fri', 'period': '2', 'start_time': 2, 'end_time': None, 'note': None}], 'is_intensive': False}",Lecture,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11000013K001202511000013K011&pLng=en,2025
Waseda,Seminarｓ: Intermediate Courses,[On-campus],100,3-609,"Intermediate Seminar (Thinking Critically on Science, Technology and Society) [J] 02",2,2,,"OKAMOTO, Kyoko","Intermediate, developmental and applicative",Japanese,,,School of Political Science and Economics,"{'terms': [{'season': 'Fall', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'Tues', 'period': '3', 'start_time': 3, 'end_time': None, 'note': None}], 'is_intensive': False}",Seminar,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1100001S050220251100001S0511&pLng=en,2025
Waseda,Mathematics: Intermediate Courses,[On-campus] Hybrid (over 50% of classes on-campus),36,3-405,Mathematical Statistics [J] 01,2,2,64,"INOUE, Kiyoshi","Intermediate, developmental and applicative",Japanese,,,School of Political Science and Economics,"{'terms': [{'season': 'Spring', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'Fri', 'period': '3', 'start_time': 3, 'end_time': None, 'note': None}], 'is_intensive': False}",Lecture,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11000013R001202511000013R011&pLng=en,2025
Waseda,Japan Studies,[On-campus],40,3-301,Literature [J] 01,2,1,60,"KAWASAKI, kenko","Beginner, initial or introductory",Japanese,,,School of Political Science and Economics,"{'terms': [{'season': 'Spring', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'Mon', 'period': '2', 'start_time': 2, 'end_time': None, 'note': None}], 'is_intensive': False}",Lecture,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11000013G001202511000013G011&pLng=en,2025
Waseda,Seminarｓ: Intermediate Courses,[On-campus],50,3-914演習室,Intermediate Seminar (Bilingual Social Culture Studies) [G/E] 01,2,2,,"IKOMA, Miki,VESZTEG, Robert Ferenc","Intermediate, developmental and applicative",other,,50,School of Political Science and Economics,"{'terms': [{'season': 'Fall', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'Thur', 'period': '2', 'start_time': 2, 'end_time': None, 'note': None}], 'is_intensive': False}",Seminar,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=1100001S010120251100001S0111&pLng=en,2025
Waseda,Humanities,[On-campus],10,3-702,Oriental Thought [J] 01,2,1,80,"ITO, Takayuki","Beginner, initial or introductory",Japanese,0,10,School of Political Science and Economics,"{'terms': [{'season': 'Fall', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'Tues', 'period': '2', 'start_time': 2, 'end_time': None, 'note': None}], 'is_intensive': False}",Lecture,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11000013D001202511000013D011&pLng=en,2025
Waseda,Social Studies,[On-campus],13,3-704,Social Philosophy [J] 01,2,1,0,"KIYAMA, Kosuke","Beginner, initial or introductory",Japanese,,87,School of Political Science and Economics,"{'terms': [{'season': 'Fall', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'Thur', 'period': '5', 'start_time': 5, 'end_time': None, 'note': None}], 'is_intensive': False}",Lecture,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11000013C201202511000013C211&pLng=en,2025
Waseda,Mathematics: Introductory Courses,[On-campus] Hybrid (over 50% of classes on-campus),36,3-501,Introduction to Linear Algebra [J] 03,2,1,64,"INOUE, Kiyoshi","Beginner, initial or introductory",Japanese,,,School of Political Science and Economics,"{'terms': [{'season': 'Fall', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'Mon', 'period': '3', 'start_time': 3, 'end_time': None, 'note': None}], 'is_intensive': False}",Lecture,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11000012U003202511000012U011&pLng=en,2025
Waseda,Mathematics: Introductory Courses,[On-campus] Hybrid (over 50% of classes on-campus),36,3-501,Introduction to Linear Algebra [J] 04,2,1,64,"INOUE, Kiyoshi","Beginner, initial or introductory",Japanese,,,School of Political Science and Economics,"{'terms': [{'season': 'Fall', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'Tues', 'period': '3', 'start_time': 3, 'end_time': None, 'note': None}], 'is_intensive': False}",Lecture,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11000012U004202511000012U011&pLng=en,2025
Waseda,Mathematics: Introductory Courses,[On-campus],,3-501,Introduction to Mathematics for Economics [J] 03,2,1,70,"TAMAKI, Kenichiro","Beginner, initial or introductory",Japanese,30,,School of Political Science and Economics,"{'terms': [{'season': 'Fall', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'Mon', 'period': '2', 'start_time': 2, 'end_time': None, 'note': None}], 'is_intensive': False}",Lecture,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11000012S303202511000012S311&pLng=en,2025
Waseda,Mathematics: Introductory Courses,[On-campus],,3-501,Introduction to Mathematics for Economics [J] 04,2,1,70,"TAMAKI, Kenichiro","Beginner, initial or introductory",Japanese,30,,School of Political Science and Economics,"{'terms': [{'season': 'Fall', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'Wed', 'period': '2', 'start_time': 2, 'end_time': None, 'note': None}], 'is_intensive': False}",Lecture,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11000012S304202511000012S311&pLng=en,2025
Waseda,Mathematics: Introductory Courses,[On-campus] Hybrid (over 50% of classes on-campus),36,3-501,Introduction to Linear Algebra [J] 02,2,1,64,"INOUE, Kiyoshi","Beginner, initial or introductory",Japanese,,,School of Political Science and Economics,"{'terms': [{'season': 'Spring', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'Tues', 'period': '3', 'start_time': 3, 'end_time': None, 'note': None}], 'is_intensive': False}",Lecture,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11000012U002202511000012U011&pLng=en,2025
Waseda,Mathematics: Introductory Courses,[On-campus] Hybrid (over 50% of classes on-campus),36,15-201,Introduction to Linear Algebra [J] 01,2,1,64,"INOUE, Kiyoshi","Beginner, initial or introductory",Japanese,,,School of Political Science and Economics,"{'terms': [{'season': 'Spring', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'Mon', 'period': '3', 'start_time': 3, 'end_time': None, 'note': None}], 'is_intensive': False}",Lecture,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11000012U001202511000012U011&pLng=en,2025
Waseda,Natural Science,[On-campus],20,3-703,History of Science [J] 01,2,1,80,"SHIN, Changon","Beginner, initial or introductory",Japanese,,,School of Political Science and Economics,"{'terms': [{'season': 'Fall', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'Tues', 'period': '3', 'start_time': 3, 'end_time': None, 'note': None}], 'is_intensive': False}",Lecture,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11000012M001202511000012M011&pLng=en,2025
Waseda,Mathematics: Introductory Courses,[On-campus],,15-101,Introduction to Mathematics for Economics [J] 01,2,1,70,"TAMAKI, Kenichiro","Beginner, initial or introductory",Japanese,30,,School of Political Science and Economics,"{'terms': [{'season': 'Spring', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'Mon', 'period': '2', 'start_time': 2, 'end_time': None, 'note': None}], 'is_intensive': False}",Lecture,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11000012S301202511000012S311&pLng=en,2025
Waseda,Mathematics: Introductory Courses,[On-campus],,15-301,Introduction to Mathematics for Economics [J] 02,2,1,70,"TAMAKI, Kenichiro","Beginner, initial or introductory",Japanese,30,,School of Political Science and Economics,"{'terms': [{'season': 'Spring', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'Wed', 'period': '2', 'start_time': 2, 'end_time': None, 'note': None}], 'is_intensive': False}",Lecture,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11000012S302202511000012S311&pLng=en,2025
Waseda,Humanities,[On-campus],30,3-704,Global History [J] 01,2,1,70,"SHIMADA, Riyuto","Beginner, initial or introductory",Japanese,,,School of Political Science and Economics,"{'terms': [{'season': 'Fall', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'Wed', 'period': '5', 'start_time': 5, 'end_time': None, 'note': None}], 'is_intensive': False}",Lecture,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11000012R001202511000012R011&pLng=en,2025
Waseda,Humanities,[On-campus],25,3-406,World Literature [J] 02,2,1,,"LOPEZPASARIN, A.","Beginner, initial or introductory",Japanese,75,,School of Political Science and Economics,"{'terms': [{'season': 'Fall', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'Fri', 'period': '5', 'start_time': 5, 'end_time': None, 'note': None}], 'is_intensive': False}",Lecture,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11000012F002202511000012F011&pLng=en,2025
Waseda,Natural Science,[On-campus] Hybrid (over 50% of classes on-campus),30,3-301,Earth and Space Science [J] 01,2,1,65,"NAKAMURA, Osamu","Beginner, initial or introductory",Japanese,5,0,School of Political Science and Economics,"{'terms': [{'season': 'Spring', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'Tues', 'period': '4', 'start_time': 4, 'end_time': None, 'note': None}], 'is_intensive': False}",Lecture,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11000012Q001202511000012Q011&pLng=en,2025
Waseda,Natural Science,[On-campus],30,3-401,Science Technology [J] 01,2,1,0,"HANAOKA, Ryuki","Beginner, initial or introductory",Japanese,0,70,School of Political Science and Economics,"{'terms': [{'season': 'Spring', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'Fri', 'period': '4', 'start_time': 4, 'end_time': None, 'note': None}], 'is_intensive': False}",Lecture,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11000012L001202511000012L011&pLng=en,2025
Tokorozawa,Seminar II,[On-campus],100,Classroom,Seminar II (Musculoskeletal Sports Medicine),1,3,,"TORII, Suguru","Advanced, practical and specialized",Japanese,,,School of Sport Sciences,"{'terms': [{'season': 'Spring', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'Tues', 'period': '2', 'start_time': 2, 'end_time': None, 'note': None}], 'is_intensive': False}",Seminar,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2000001714012025200000171420&pLng=en,2025
Toyama,Core Foreign Language (Korean) Step 2,[On-campus],50,,Korean III (Step 2) 52-2_【文学・文構_合併】,2,1,50,"IN, Sung Hi","Beginner, initial or introductory",Japanese,0,0,"School of Culture, Media and Society","{'terms': [{'season': 'Fall', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'Wed', 'period': '4', 'start_time': 4, 'end_time': None, 'note': None}], 'is_intensive': False}",Foreign Language,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2314070007052025241407000723&pLng=en,2025
Waseda,Social Studies,[On-campus] Hybrid (over 50% of classes on-campus),40,3-305,Gender Studies [J] 01,2,1,60,"ONO, Sera","Beginner, initial or introductory",Japanese,,,School of Political Science and Economics,"{'terms': [{'season': 'Fall', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'Wed', 'period': '2', 'start_time': 2, 'end_time': None, 'note': None}], 'is_intensive': False}",Lecture,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11000012X001202511000012X011&pLng=en,2025
Toyama,Theoretical Configuration Seminars,[On-campus],100,32-228,Seminar on World Literature Studies 2 (Spring) B,2,3,,"KUSANO, Keiko",Final stage advanced-level undergraduate,Japanese,,,"School of Culture, Media and Society","{'terms': [{'season': 'Spring', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'Mon', 'period': '2', 'start_time': 2, 'end_time': None, 'note': None}], 'is_intensive': False}",Seminar,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=23Z254201802202523Z254201823&pLng=en,2025
Toyama,Theoretical Configuration Seminars,[On-campus],,,Seminar on Criticism and Creative Writing 1 (Fall) A,2,3,,"TOMOZOE, Taiki",Final stage advanced-level undergraduate,Japanese,,,"School of Culture, Media and Society","{'terms': [{'season': 'Fall', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'Fri', 'period': '4', 'start_time': 4, 'end_time': None, 'note': None}], 'is_intensive': False}",Seminar,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=23Z354200301202523Z354200323&pLng=en,2025
Toyama,Core Lectures,[Online] Full On-demand,50,,Core Lecture 5,2,1,0,"SAKANIWA, Atsushiothers","Beginner, initial or introductory",Japanese,0,50,School of Humanities and Social Sciences,"{'terms': [{'season': 'Spring', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'others', 'period': 'On demand', 'start_time': None, 'end_time': None, 'note': None}], 'is_intensive': False}",Lecture,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2412000001012025241200000124&pLng=en,2025
Toyama,Core Foreign Language (Chinese) Step 1,[On-campus],50,31-102,Chinese IV (Step 1) 42-2_【文学・文構_合併】,2,1,50,"OKAZAKI, Yumi","Beginner, initial or introductory",Japanese,0,0,School of Humanities and Social Sciences,"{'terms': [{'season': 'Spring', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'Fri', 'period': '2', 'start_time': 2, 'end_time': None, 'note': None}], 'is_intensive': False}",Foreign Language,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2414040004042025241404000424&pLng=en,2025
Toyama,Lectures,[On-campus],30,,Introduction to Cognitive Linguistics2-1_【文構・文学_合併】,2,1,70,"SAKAI, Tomohiro","Beginner, initial or introductory",Japanese,,,School of Humanities and Social Sciences,"{'terms': [{'season': 'Fall', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'Thur', 'period': '3', 'start_time': 3, 'end_time': None, 'note': None}], 'is_intensive': False}",Lecture,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2421520051012025232152005124&pLng=en,2025
Toyama,Core Foreign Language (Chinese) Step 1,[On-campus],50,31-03,Chinese IV (Step 1) 32-2_【文学・文構_合併】,2,1,50,"TAKAYA, Aki","Beginner, initial or introductory",Japanese,0,0,School of Humanities and Social Sciences,"{'terms': [{'season': 'Spring', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'Fri', 'period': '2', 'start_time': 2, 'end_time': None, 'note': None}], 'is_intensive': False}",Foreign Language,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2414040004032025241404000424&pLng=en,2025
Toyama,Core Foreign Language (Korean) Step 2,[On-campus],50,,Korean IV (Step 2) 52-2_【文学・文構_合併】,2,1,50,"KUROSAWA, Tomoko","Beginner, initial or introductory",Japanese,0,0,School of Humanities and Social Sciences,"{'terms': [{'season': 'Fall', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'Fri', 'period': '1', 'start_time': 1, 'end_time': None, 'note': None}], 'is_intensive': False}",Foreign Language,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2414070008052025241407000824&pLng=en,2025
Toyama,Core Foreign Language (Korean) Step 2,[On-campus],50,,Korean IV (Step 2) 42-2_【文学・文構_合併】,2,1,50,"SONG, Meeryung","Beginner, initial or introductory",Japanese,0,0,School of Humanities and Social Sciences,"{'terms': [{'season': 'Fall', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'Fri', 'period': '1', 'start_time': 1, 'end_time': None, 'note': None}], 'is_intensive': False}",Foreign Language,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2414070008042025241407000824&pLng=en,2025
Toyama,Theoretical Configuration Seminars,[On-campus],,,Seminar on Image Culture (Fall),2,3,,"MIZOGUCHI, Akiko",Final stage advanced-level undergraduate,Japanese,,,"School of Culture, Media and Society","{'terms': [{'season': 'Fall', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'Tues', 'period': '4', 'start_time': 4, 'end_time': None, 'note': None}], 'is_intensive': False}",Seminar,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=23Z353300801202523Z353300823&pLng=en,2025
Toyama,Core Foreign Language (Korean) Step 2,[On-campus],50,,Korean IV (Step 2) 32-2_【文学・文構_合併】,2,1,50,"KUROSAWA, Tomoko","Beginner, initial or introductory",Japanese,0,0,School of Humanities and Social Sciences,"{'terms': [{'season': 'Fall', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'Fri', 'period': '2', 'start_time': 2, 'end_time': None, 'note': None}], 'is_intensive': False}",Foreign Language,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2414070008032025241407000824&pLng=en,2025
Toyama,Core Lectures,[Online] Full On-demand,50,,Core Lecture 6(RE),2,1,0,"SAKANIWA, Atsushiothers","Beginner, initial or introductory",Japanese,0,50,School of Humanities and Social Sciences,"{'terms': [{'season': 'Fall', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'others', 'period': 'On demand', 'start_time': None, 'end_time': None, 'note': None}], 'is_intensive': False}",Lecture,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2412000002012025241200000224&pLng=en,2025
Toyama,Lectures,[Online] Full On-demand,40,,Personality Development and Differences2-1_【文構・文学_合併】,2,1,0,"OSHIO, Atsushi","Beginner, initial or introductory",Japanese,60,0,School of Humanities and Social Sciences,"{'terms': [{'season': 'Spring', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'others', 'period': 'On demand', 'start_time': None, 'end_time': None, 'note': None}], 'is_intensive': False}",Lecture,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2421550086012025232155008624&pLng=en,2025
Toyama,Lectures,[Online] Full On-demand,70,,Neuro- and Physiological Psychology2-2_【文学・文構_合併】,2,2,30,"KATAHIRA, Kenji","Intermediate, developmental and applicative",Japanese,,,School of Humanities and Social Sciences,"{'terms': [{'season': 'Fall', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'others', 'period': 'On demand', 'start_time': None, 'end_time': None, 'note': None}], 'is_intensive': False}",Lecture,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2421630008012025242163000824&pLng=en,2025
Toyama,Elective Seminars 1,[On-campus],30,36-283,Seminar in Theatre and Film Studies 1 (Japanese Traditional Performing Arts),2,2,0,"WADA, Osamu","Intermediate, developmental and applicative",Japanese,0,70,School of Humanities and Social Sciences,"{'terms': [{'season': 'Spring', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'Fri', 'period': '3', 'start_time': 3, 'end_time': None, 'note': None}], 'is_intensive': False}",Seminar,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2432721001012025243272100124&pLng=en,2025
Nishi-Waseda,Elective Compulsory Subjects,[On-campus],25,,Macroeconomics A,2,2,75,"SHINOZAKI, Takehisa","Intermediate, developmental and applicative",Japanese,,,School of Creative Science and Engineering,"{'terms': [{'season': 'Fall', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'Thur', 'period': '1', 'start_time': 1, 'end_time': None, 'note': None}], 'is_intensive': False}",Lecture,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2700002043012025260000204327&pLng=en,2025
Nishi-Waseda,Compulsory Subjects,[On-campus] Hybrid (over 50% of classes on-campus),,54-102,Communication Strategies 1 Mon-1 FERRARO,1,1,,"FERRARO, Timothy Clinton","Beginner, initial or introductory",English,,,School of Advanced Science and Engineering,"{'terms': [{'season': 'Spring', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'Mon', 'period': '1', 'start_time': 1, 'end_time': None, 'note': None}], 'is_intensive': False}",Foreign Language,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2800111001062025260011100128&pLng=en,2025
Nishi-Waseda,Elective Compulsory Subjects,,,,Physics of Continuous Media [S Grade],2,3,100,"TAKANO, Masatoshi","Advanced, practical and specialized",Japanese,,,School of Advanced Science and Engineering,"{'terms': [{'season': 'Spring', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'others', 'period': 'others', 'start_time': None, 'end_time': None, 'note': None}], 'is_intensive': False}",Lecture,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2801033008S12025280103300828&pLng=en,2025
Toyama,Optional Subjects,[On-campus],60,,Intermediate Classical Latin 23-1_【文学・文構・文研_合併】,1,1,40,"MIYASAKA, Maiko",Level of Master,Japanese,0,,"Graduate School of Letters, Arts and Sciences","{'terms': [{'season': 'Fall', 'session': 'Semester', 'position': 1}], 'schedule': [{'seq': 1, 'day': 'Mon', 'period': '4', 'start_time': 4, 'end_time': None, 'note': None}], 'is_intensive': False}",Lecture,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=3401003252012025340100325234&pLng=en,2025
